Phrase1	Person1	Personimg1	Audio1	Hint1	trans1	Phrase2	Person2	Personimg2	Audio2	Hint2	trans2	Note	Intro	Image	Tagimg	Taglogo	Tagtalk	Tags	Adio1toexport	Adio2toexport	1685	10	0	Tags
Although I love all the opportunities in big cities, I'd like to live in a small town someday 	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-456379495.mp3]	A_t_o_g_   I   l_v_   a_l   t_e   <br>o_p_r_u_i_i_s   i_   b_g   <br>c_t_e_,   I'd   l_k_   t_   <br>l_v_   i_   a   s_a_l   t_w_   s_m_d_y      	Embora eu ame todas as oportunidades nas grandes cidades, gostaria de morar em uma cidade pequena algum dia	So would I. I'd appreciate the peace and quiet of a small town 	Kendra	<img src=Kendra10.png />	[sound:Level-C1-619178234.mp3]	S_   w_u_d   I.   I'd   a_p_e_i_t_   <br>t_e   p_a_e   a_d   <br>q_i_t   o_   a   s_a_l   t_w_   <br>   	Eu também. Eu apreciaria a paz e tranquilidade de uma cidade pequena		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors 	Level-C1-456379495.mp3	Level-C1-619178234.mp3				
New York is a great city, however, it's too crowded	Eva	<img src='Eva10.png' />	[sound:Level-C1-1641180115.mp3]	N_w   Y_r_   i_   a   g_e_t   c_t_,   <br>h_w_v_r,   i_'_   t_o   <br>c_o_d_d   	Nova York é uma ótima cidade, no entanto, é muito cheia	Well, although New York is too crowded, there's a lot to do there 	John	<img src=John10.png />	[sound:Level-C1-1242777516.mp3]	W_l_,   a_t_o_g_   N_w   Y_r_   <br>i_   t_o   c_o_d_d,   t_e_e's   <br>a   l_t   t_   d_   t_e_e   <br>   	Bem, embora Nova York seja muito lotada, há muito o que se fazer lá		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors ♚	Level-C1-1641180115.mp3	Level-C1-1242777516.mp3				
In spite of the bad weather, I love London. It's a romantic big city 	Kimberly	<img src='Kimberly10.png' />	[sound:Level-C1-953553235.mp3]	I_   s_i_e   o_   t_e   b_d   w_a_h_r,   <br>I   l_v_   L_n_o_.   <br>I_'_   a   r_m_n_i_   b_g   <br>c_t_      	Apesar do mau tempo, eu amo Londres. É uma cidade grande e romântica	London is a romantic city indeed. However, If I had to choose a place to visit, I'd choose somewhere in Asia. They have such an interesting culture!	Justin	<img src=Justin10.png />	[sound:Level-C1-1315785998.mp3]	L_n_o_   i_   a   r_m_n_i_   c_t_   <br>i_d_e_.   H_w_v_r,   <br>I_   I   h_d   t_   c_o_s_   a   <br>p_a_e   t_   v_s_t,   I'd   c_o_s_   s_m_w_e_e   i_   A_i_.   T_e_   h_v_   s_c_   a_   i_t_r_s_i_g   c_l_u_e!   	Londres é realmente uma cidade romântica. No entanto, se eu tivesse que escolher um lugar para visitar, escolheria algum lugar na Ásia. Eles têm uma cultura tão interessante!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors 	Level-C1-953553235.mp3	Level-C1-1315785998.mp3				
They bought a little yellow brick house in the center of town 	Salli	<img src='Salli10.png' />	[sound:Level-C1-570524322.mp3]	T_e_   b_u_h_   a   l_t_l_   y_l_o_   <br>b_i_k   h_u_e   i_   <br>t_e   c_n_e_   o_   t_w_      <br>	Eles compraram uma pequena casa de tijolos amarela no centro da cidade 	I heard they were looking for a new place. I didn't know they had already found it	Matthew	<img src=Matthew10.png />	[sound:Level-C1-1526906782.mp3]	I   h_a_d   t_e_   w_r_   l_o_i_g   <br>f_r   a   n_w   p_a_e.   <br>I   d_d_'_   k_o_   t_e_   <br>h_d   a_r_a_y   f_u_d   i_   	Ouvi dizer que eles estavam procurando um novo lugar. Eu não sabia que eles já tinham encontrado		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Simple-Past 	Level-C1-570524322.mp3	Level-C1-1526906782.mp3				
She hates living in a little border town with its, in her words, "run-down wooden houses"	Kendra	<img src='Kendra10.png' />	[sound:Level-C1-798483949.mp3]	S_e   h_t_s   l_v_n_   i_   a   <br>l_t_l_   b_r_e_   t_w_   <br>w_t_   i_s,   i_   h_r   w_r_s,   <br>"_u_-_o_n   w_o_e_   h_u_e_"   	Ela odeia viver em uma pequena cidade fronteiriça com suas, nas palavras dela, "casas de madeira precárias"	Then why doesn't she move out? 	Ana	<img src=Ana10.png />	[sound:Level-C1-2125542837.mp3]	T_e_   w_y   d_e_n't   s_e   m_v_   <br>o_t?      	Então, por que ela não se muda?		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Simple-Present ♚	Level-C1-798483949.mp3	Level-C1-2125542837.mp3				
This town has many old cement buildings with dirty black steel roofs	Eva	<img src='Eva10.png' />	[sound:Level-C1-777844854.mp3]	T_i_   t_w_   h_s   m_n_   o_d   <br>c_m_n_   b_i_d_n_s   w_t_   <br>d_r_y   b_a_k   s_e_l   r_o_s   <br>	Esta cidade tem muitos edifícios antigos de cimento com telhados de aço preto sujos	Wow, you're quite observant!	Salli	<img src=Salli10.png />	[sound:Level-C1-481241478.mp3]	W_w,   y_u'r_   q_i_e   o_s_r_a_t!   <br>	Uau, você é muito observadora!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Simple-Present 	Level-C1-777844854.mp3	Level-C1-481241478.mp3				
Although I exercise every day in the town park, I don't like that place	Kendra	<img src='Kendra10.png' />	[sound:Level-C1-682611311.mp3]	A_t_o_g_   I   e_e_c_s_   e_e_y   <br>d_y   i_   t_e   t_w_   <br>p_r_,   I   d_n't   l_k_   t_a_   <br>p_a_e   	Embora eu exercite todos os dias no parque da cidade, eu não gosto daquele lugar	Why don't you go jogging on the empty streets near that new neighboorhood? 	Salli	<img src=Salli10.png />	[sound:Level-C1-1263447357.mp3]	W_y   d_n't   y_u   g_   j_g_i_g   <br>o_   t_e   e_p_y   s_r_e_s   <br>n_a_   t_a_   n_w   n_i_h_o_r_o_d?   <br>   	Por que você não corre nas ruas vazias perto daquele bairro novo?		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors 	Level-C1-682611311.mp3	Level-C1-1263447357.mp3				
They weren't happy, nevertheless, they decided to move to another neighborhood	Kendra	<img src='Kendra10.png' />	[sound:Level-C1-148587375.mp3]	T_e_   w_r_n't   h_p_y,   n_v_r_h_l_s_,   <br>t_e_   d_c_d_d   <br>t_   m_v_   t_   a_o_h_r   n_i_h_o_h_o_   <br>	Eles não estavam felizes, no entanto, eles decidiram se mudar para outro bairro	I know! They really loved their old neighborhood. It's where Ana was raised	Salli	<img src=Salli10.png />	[sound:Level-C1-916003895.mp3]	I   k_o_!   T_e_   r_a_l_   l_v_d   <br>t_e_r   o_d   n_i_h_o_h_o_.   <br>I_'_   w_e_e   A_a   <br>w_s   r_i_e_   	Eu sei! Eles realmente amavam o seu bairro antigo. É onde Ana foi criada		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors ♚	Level-C1-148587375.mp3	Level-C1-916003895.mp3				
Despite the high cost of living in this city, there are a number of good reasons why we don't move out	Kimberly	<img src='Kimberly10.png' />	[sound:Level-C1-920020631.mp3]	D_s_i_e   t_e   h_g_   c_s_   o_   <br>l_v_n_   i_   t_i_   c_t_,   <br>t_e_e   a_e   a   n_m_e_   <br>o_   g_o_   r_a_o_s   w_y   w_   d_n't   m_v_   o_t   	Apesar do alto custo de vida nesta cidade, existem várias boas razões pelas quais não nos mudamos	Could you mention one? 	John	<img src=John10.png />	[sound:Level-C1-848895642.mp3]	C_u_d   y_u   m_n_i_n   o_e?   <br>   	Você poderia mencionar uma?		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors 	Level-C1-920020631.mp3	Level-C1-848895642.mp3				
Could you tell me something nice about this town?	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-1693256508.mp3]	C_u_d   y_u   t_l_   m_   s_m_t_i_g   <br>n_c_   a_o_t   t_i_   <br>t_w_?   	Você poderia me dizer algo legal sobre esta cidade?	Most places in this town close early. In spite of that, we always find a place to eat. This is pretty interesting!	Justin	<img src=Justin10.png />	[sound:Level-C1-1769650898.mp3]	M_s_   p_a_e_   i_   t_i_   t_w_   <br>c_o_e   e_r_y.   I_   <br>s_i_e   o_   t_a_,   w_   a_w_y_   <br>f_n_   a   p_a_e   t_   e_t.   T_i_   i_   p_e_t_   i_t_r_s_i_g!   	A maioria dos lugares nesta cidade fecha cedo. Apesar disso, sempre encontramos um lugar para comer. Isso é bem interessante!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors 	Level-C1-1693256508.mp3	Level-C1-1769650898.mp3				
The summer here is quite nice, on the other hand, the winter is freezing!	John	<img src='John10.png' />	[sound:Level-C1-197236520.mp3]	T_e   s_m_e_   h_r_   i_   q_i_e   <br>n_c_,   o_   t_e   o_h_r   <br>h_n_,   t_e   w_n_e_   i_   <br>f_e_z_n_!   	O verão aqui é bastante agradável, por outro lado, o inverno é congelante!	I don't mind the super cold weather, in fact, I prefer it!	Kendra	<img src=Kendra10.png />	[sound:Level-C1-978454608.mp3]	I   d_n't   m_n_   t_e   s_p_r   <br>c_l_   w_a_h_r,   i_   f_c_,   <br>I   p_e_e_   i_!   	Eu não me importo com o clima super frio, na verdade, eu prefiro!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors ♚	Level-C1-197236520.mp3	Level-C1-978454608.mp3				
We decided to go to Rome for our holiday, even though it meant we needed to get our passports renewed	Ana	<img src='Ana10.png' />	[sound:Level-C1-1691707804.mp3]	W_   d_c_d_d   t_   g_   t_   R_m_   <br>f_r   o_r   h_l_d_y,   <br>e_e_   t_o_g_   i_   m_a_t   <br>w_   n_e_e_   t_   g_t   o_r   p_s_p_r_s   r_n_w_d   	Decidimos ir a Roma em nossas férias, mesmo que isso significasse que precisávamos renovar nossos passaportes	How was it? I heard Rome is a romantic town!	Salli	<img src=Salli10.png />	[sound:Level-C1-768842279.mp3]	H_w   w_s   i_?   I   h_a_d   R_m_   <br>i_   a   r_m_n_i_   <br>t_w_!   	Como foi? Ouvi dizer que Roma é uma cidade romântica!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors 	Level-C1-1691707804.mp3	Level-C1-768842279.mp3				
She decided to help with the relocation in spite of being really ill  	Kimberly	<img src='Kimberly10.png' />	[sound:Level-C1-1214337110.mp3]	S_e   d_c_d_d   t_   h_l_   w_t_   <br>t_e   r_l_c_t_o_   i_   <br>s_i_e   o_   b_i_g   r_a_l_   <br>i_l         	Ela decidiu ajudar com a mudança, apesar de estar realmente doente	She's very helpful, I hope she gets better soon 	Matthew	<img src=Matthew10.png />	[sound:Level-C1-473230261.mp3]	S_e's   v_r_   h_l_f_l,   I   h_p_   <br>s_e   g_t_   b_t_e_   <br>s_o_      	Ela é muito prestativa, espero que melhore logo		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑WH-Questions 	Level-C1-1214337110.mp3	Level-C1-473230261.mp3				
What's important to you while finding a town to live in? 	Kendra	<img src='Kendra10.png' />	[sound:Level-C1-668564967.mp3]	W_a_'_   i_p_r_a_t   t_   y_u   <br>w_i_e   f_n_i_g   a   t_w_   <br>t_   l_v_   i_?      	O que é importante para você ao encontrar uma cidade para morar?	I guess affordable housing and exciting nightlife are the most important aspects to me 	Salli	<img src=Salli10.png />	[sound:Level-C1-2057636262.mp3]	I   g_e_s   a_f_r_a_l_   h_u_i_g   <br>a_d   e_c_t_n_   n_g_t_i_e   <br>a_e   t_e   m_s_   i_p_r_a_t   <br>a_p_c_s   t_   m_      	Acho que moradias populares e vida noturna empolgante são os aspectos mais importantes para mim		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑WH-Questions 	Level-C1-668564967.mp3	Level-C1-2057636262.mp3				
What's important to you when you move to another city? 	Justin	<img src='Justin10.png' />	[sound:Level-C1-1908416765.mp3]	W_a_'_   i_p_r_a_t   t_   y_u   <br>w_e_   y_u   m_v_   t_   <br>a_o_h_r   c_t_?      	O que é importante para você quando se muda para uma outra cidade?	I guess low crime rates is probably the most important thing to consider. I want to live somewhere I feel safe 	Matthew	<img src=Matthew10.png />	[sound:Level-C1-705480671.mp3]	I   g_e_s   l_w   c_i_e   r_t_s   <br>i_   p_o_a_l_   t_e   m_s_   <br>i_p_r_a_t   t_i_g   t_   <br>c_n_i_e_.   I   w_n_   t_   l_v_   s_m_w_e_e   I   f_e_   s_f_      	Acho que baixas taxas de criminalidade são provavelmente a coisa mais importante a se considerar. Eu quero morar em algum lugar onde eu me sinta seguro		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑WH-Questions 	Level-C1-1908416765.mp3	Level-C1-705480671.mp3				
What's important to you while finding a town to live in? 	Kendra	<img src='Kendra10.png' />	[sound:Level-C1-668564967.mp3]	W_a_'_   i_p_r_a_t   t_   y_u   <br>w_i_e   f_n_i_g   a   t_w_   <br>t_   l_v_   i_?      	O que é importante para você ao encontrar uma cidade para morar?	I guess beautiful parks and historic neighborhoods. I love running, I'd like to run in a beautiful place. Besides, I'm really into History and Architecture, that's why historic neighborhoods are important to me 	John	<img src=John10.png />	[sound:Level-C1-79315554.mp3]	I   g_e_s   b_a_t_f_l   p_r_s   <br>a_d   h_s_o_i_   n_i_h_o_h_o_s.   <br>I   l_v_   r_n_i_g,   <br>I'd   l_k_   t_   r_n   i_   a   b_a_t_f_l   p_a_e.   B_s_d_s,   I'm   r_a_l_   i_t_   H_s_o_y   a_d   A_c_i_e_t_r_,   t_a_'_   w_y   h_s_o_i_   n_i_h_o_h_o_s   a_e   i_p_r_a_t   t_   m_      	Acho que belos parques e bairros históricos. Eu amo correr, eu gostaria de correr em um lugar bonito. Além disso, eu gosto muito de história e arquitetura, é por isso que os bairros históricos são importantes para mim		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑WH-Questions 	Level-C1-668564967.mp3	Level-C1-79315554.mp3				
What do you think is relevant to analyze when looking for a city to live in?	Eva	<img src='Eva10.png' />	[sound:Level-C1-1507823131.mp3]	W_a_   d_   y_u   t_i_k   i_   <br>r_l_v_n_   t_   a_a_y_e   <br>w_e_   l_o_i_g   f_r   a   c_t_   <br>t_   l_v_   i_?   	O que você acha relevante analizar ao procurar uma cidade para viver? 	The city should definitely have a pleasant weather. I hate the heat!	Kimberly	<img src=Kimberly10.png />	[sound:Level-C1-656474179.mp3]	T_e   c_t_   s_o_l_   d_f_n_t_l_   <br>h_v_   a   p_e_s_n_   <br>w_a_h_r.   I   h_t_   t_e   h_a_!   <br>	A cidade definitivamente deve ter um clima agradável. Eu odeio o calor!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑WH-Questions 	Level-C1-1507823131.mp3	Level-C1-656474179.mp3				
The Blakes are renting a tradicional square greenish cottage beside the river. It's delightful to look at!	Ana	<img src='Ana10.png' />	[sound:Level-C1-1464607578.mp3]	T_e   B_a_e_   a_e   r_n_i_g   <br>a   t_a_i_i_n_l   s_u_r_   <br>g_e_n_s_   c_t_a_e   b_s_d_   <br>t_e   r_v_r.   I_'_   d_l_g_t_u_   t_   l_o_   a_!   	Os Blakes estão alugando um chalé esverdeado quadrado tradicional ao lado do rio. É encantador de se olhar!	Although it's delightful to look at, the rent must cost a fortune!	Salli	<img src=Salli10.png />	[sound:Level-C1-238343390.mp3]	A_t_o_g_   i_'_   d_l_g_t_u_   <br>t_   l_o_   a_,   t_e   r_n_   <br>m_s_   c_s_   a   f_r_u_e!   <br>	Embora seja agradável de se olhar, o aluguel deve custar uma fortuna!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors 	Level-C1-1464607578.mp3	Level-C1-238343390.mp3				
In spite of the high crime rate, I'm not afraid to walk home alone after dark 	Justin	<img src='Justin10.png' />	[sound:Level-C1-754248336.mp3]	I_   s_i_e   o_   t_e   h_g_   <br>c_i_e   r_t_,   I'm   n_t   <br>a_r_i_   t_   w_l_   h_m_   <br>a_o_e   a_t_r   d_r_      	Apesar da alta taxa de criminalidade, não tenho medo de voltar para casa sozinho depois do anoitecer	You should be afraid, don't give hostages to fortune!	Kimberly	<img src=Kimberly10.png />	[sound:Level-C1-2109722689.mp3]	Y_u   s_o_l_   b_   a_r_i_,   d_n't   <br>g_v_   h_s_a_e_   t_   <br>f_r_u_e!   	Você deveria ter medo, não brinque com a sorte!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors ♚	Level-C1-754248336.mp3	Level-C1-2109722689.mp3				
Despite the age of the house, he managed to sell it	Eva	<img src='Eva10.png' />	[sound:Level-C1-2403736.mp3]	D_s_i_e   t_e   a_e   o_   t_e   <br>h_u_e,   h_   m_n_g_d   <br>t_   s_l_   i_   	Apesar da idade da casa, ele conseguiu vendê-la	He definitely has the gift of the gab!	John	<img src=John10.png />	[sound:Level-C1-1450880929.mp3]	H_   d_f_n_t_l_   h_s   t_e   g_f_   <br>o_   t_e   g_b!   	Ele definitivamente tem lábia!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥06-My-kind-of-Town ⚑Connectors 	Level-C1-2403736.mp3	Level-C1-1450880929.mp3				
I'm a very morning person. As soon as I get up in the morning I race off to the gym. After I finish my workout I head to the office	John	<img src='John10.png' />	[sound:Level-C1-1706816135.mp3]	I'm   a   v_r_   m_r_i_g   p_r_o_.   <br>A_   s_o_   a_   I   <br>g_t   u_   i_   t_e   m_r_i_g   <br>I   r_c_   o_f   t_   t_e   g_m.   A_t_r   I   f_n_s_   m_   w_r_o_t   I   h_a_   t_   t_e   o_f_c_   	Eu sou uma pessoa da manhã. Assim que eu levanto de manhã eu saio ligeiro para a academia. Depois de terminar os meus excercícios eu vou para o trabalho	Good for you! I'm definitely not a morning person. I get really cranky when I wake up early!	Matthew	<img src=Matthew10.png />	[sound:Level-C1-1625670485.mp3]	G_o_   f_r   y_u!   I'm   d_f_n_t_l_   <br>n_t   a   m_r_i_g   <br>p_r_o_.   I   g_t   r_a_l_   <br>c_a_k_   w_e_   I   w_k_   u_   e_r_y!   	Que bom! I realmente não sou uma pessoa da manhã. Eu fico muito irritado quando eu acordo cedo	head off = to start a journey or leave a place	Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥07-What's-your-best-time-of-the-day? ⚑Time-clauses ♚	Level-C1-1706816135.mp3	Level-C1-1625670485.mp3				
My father-in-law wakes up really early. He always gets to the office before anyone else. He's really a morning person	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-1058203122.mp3]	M_   f_t_e_-_n-l_w   w_k_s   u_   <br>r_a_l_   e_r_y.   H_   <br>a_w_y_   g_t_   t_   t_e   o_f_c_   <br>b_f_r_   a_y_n_   e_s_.   H_'_   r_a_l_   a   m_r_i_g   p_r_o_   	Meu sogro acorda muito cedo. Ele sempre chega no escritório antes de qualquer outra pessoa. Ele é realmente uma pessoa da manhã	Nice! I would get along with him	John	<img src=John10.png />	[sound:Level-C1-1013417144.mp3]	N_c_!   I   w_u_d   g_t   a_o_g   <br>w_t_   h_m   	Legal! Eu me daria bem com ele		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥07-What's-your-best-time-of-the-day? ⚑Simple-Present 	Level-C1-1058203122.mp3	Level-C1-1013417144.mp3				
Ever since I was a kid, I've had trouble waking up early. So I guess I'm a late riser. That's why I chose going to school in the afternoon	Justin	<img src='Justin10.png' />	[sound:Level-C1-568254.mp3]	E_e_   s_n_e   I   w_s   a   k_d,   <br>I'v_   h_d   t_o_b_e   <br>w_k_n_   u_   e_r_y.   S_   <br>I   g_e_s   I'm   a   l_t_   r_s_r.   T_a_'_   w_y   I   c_o_e   g_i_g   t_   s_h_o_   i_   t_e   a_t_r_o_n   	Desde que eu era criança, eu tenho dificuldade de acordar cedo. Então, eu acho que eu sou uma pessoa que gosta de acordar tarde. Por isso que eu escolhi ir para a escola à tarde	That's cool! Since I'm a morning person, I've always chosen to go to school in the morning	Kimberly	<img src=Kimberly10.png />	[sound:Level-C1-141249569.mp3]	T_a_'_   c_o_!   S_n_e   I'm   <br>a   m_r_i_g   p_r_o_,   I'v_   <br>a_w_y_   c_o_e_   t_   g_   <br>t_   s_h_o_   i_   t_e   m_r_i_g   	Legal! Já que eu sou uma pessoa da manhã, eu sempre escolhi estudar no período da manhã		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥07-What's-your-best-time-of-the-day? ⚑Time-clauses ♚	Level-C1-568254.mp3	Level-C1-141249569.mp3				
Until I have my coffee I'm such a grouch. I'm not very approachable right after I wake up. I'm definitely a late riser	Salli	<img src='Salli10.png' />	[sound:Level-C1-7366867.mp3]	U_t_l   I   h_v_   m_   c_f_e_   <br>I'm   s_c_   a   g_o_c_.   <br>I'm   n_t   v_r_   a_p_o_c_a_l_   <br>r_g_t   a_t_r   I   w_k_   u_.   I'm   d_f_n_t_l_   a   l_t_   r_s_r   	Até eu ter tomado meu café eu sou muito rabugenta. Eu não sou muito acessível logo depois que eu acordo. Eu definitivamente sou uma pessoa que gosta de acordar mais tarde	That's funny, I can imagine your sleepy face in the morning. I wouldn't like to be the person who wakes you up	Ana	<img src=Ana10.png />	[sound:Level-C1-101543867.mp3]	T_a_'_   f_n_y,   I   c_n   i_a_i_e   <br>y_u_   s_e_p_   f_c_   <br>i_   t_e   m_r_i_g.   I   <br>w_u_d_'_   l_k_   t_   b_   t_e   p_r_o_   w_o   w_k_s   y_u   u_   	Isso é engraçado! Eu consigo imaginar sua cara de sono de manhã. Não gostaria de ser a pessoa que te acorda		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥07-What's-your-best-time-of-the-day? ⚑Time-clauses ♚	Level-C1-7366867.mp3	Level-C1-101543867.mp3				
I usually take a five-minute nap at my desk while I take my lunch break at work. After this five-minute nap, I feel great the rest of the day. I'm a power napper	Ana	<img src='Ana10.png' />	[sound:Level-C1-900841618.mp3]	I   u_u_l_y   t_k_   a   f_v_-_i_u_e   <br>n_p   a_   m_   d_s_   <br>w_i_e   I   t_k_   m_   l_n_h   <br>b_e_k   a_   w_r_.   A_t_r   t_i_   f_v_-_i_u_e   n_p,   I   f_e_   g_e_t   t_e   r_s_   o_   t_e   d_y.   I'm   a   p_w_r   n_p_e_   	Eu geralmente tiro uma soneca de cinco minutos enquanto eu faço meu horário de almoço no trabalho. Depois dessa soneca de cinco minutos, eu me sinto ótima o resto do dia. Eu sou uma pessoa com uma soneca poderosa	There's nothing like a powerful nap!	Salli	<img src=Salli10.png />	[sound:Level-C1-330294846.mp3]	T_e_e's   n_t_i_g   l_k_   a   <br>p_w_r_u_   n_p!   	Não tem nada como uma soneca poderosa!		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥07-What's-your-best-time-of-the-day? ⚑Time-clauses 	Level-C1-900841618.mp3	Level-C1-330294846.mp3				
I don't get much done in the morning, but I get a spurt of energy at night. I can concentrate best after everyone else has gone to bed. I'd say I'm a real night owl	Kendra	<img src='Kendra10.png' />	[sound:Level-C1-741801721.mp3]	I   d_n't   g_t   m_c_   d_n_   <br>i_   t_e   m_r_i_g,   b_t   <br>I   g_t   a   s_u_t   o_   <br>e_e_g_   a_   n_g_t.   I   c_n   c_n_e_t_a_e   b_s_   a_t_r   e_e_y_n_   e_s_   h_s   g_n_   t_   b_d.   I'd   s_y   I'm   a   r_a_   n_g_t   o_l   	Eu não faço muita coisa de manhã, mas eu tenho uma explosão de energia à noite. Eu consigo me concentrar melhor depois que todo mundo foi para cama. Eu sou uma pessoa da noite de verdade	Seriously? I'm no good at night. I just want to sleep in my comfortable bed	Salli	<img src=Salli10.png />	[sound:Level-C1-2065123036.mp3]	S_r_o_s_y?   I'm   n_   g_o_   <br>a_   n_g_t.   I   j_s_   w_n_   <br>t_   s_e_p   i_   m_   c_m_o_t_b_e   <br>b_d   	Sério? Eu não presto de noite. Eu só quero dormir na minha cama confortável		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥07-What's-your-best-time-of-the-day? ⚑Time-clauses 	Level-C1-741801721.mp3	Level-C1-2065123036.mp3				
What time would you rather exercise?	Matthew	<img src='Matthew10.png' />	[sound:Level-C1-164807488.mp3]	W_a_   t_m_   w_u_d   y_u   r_t_e_   <br>e_e_c_s_?   	A que horas você prefere se exercitar?	I prefer doing my exercises early in the morning. This way I get a boost of energy for my day	Salli	<img src=Salli10.png />	[sound:Level-C1-600719165.mp3]	I   p_e_e_   d_i_g   m_   e_e_c_s_s   <br>e_r_y   i_   t_e   <br>m_r_i_g.   T_i_   w_y   I   g_t   <br>a   b_o_t   o_   e_e_g_   f_r   m_   d_y   	Eu prefiro fazer meus exercícios de manhã cedo. Desta forma, recebo um impulso de energia para o meu dia		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-C1 ♥07-What's-your-best-time-of-the-day? ⚑Simple-Present 	Level-C1-164807488.mp3	Level-C1-600719165.mp3				
